RUET - 01,,,,,
,,,,,
rank,display_rating,num_contests,last_contest_index,last_change,handle
1,1757,1,0,1757,KuetEffervescent
2,1595,1,0,1595,KUET_FALCONS
3,1483,1,0,1483,KUET_Musashis
4,1386,1,0,1386,KUET_BUGMAN
5,1289,1,0,1289,KUET_Blaziken
6,1177,1,0,1177,KUET_BreakDown
7,1015,1,0,1015,Team_Phoenix
,,,,,
RUET - 02,,,,,
,,,,,
,,,,,
rank,display_rating,num_contests,last_contest_index,last_change,handle
1,1874,2,1,117,KuetEffervescent
2,1621,2,1,26,KUET_FALCONS
3,1516,2,1,33,KUET_Musashis
4,1487,2,1,310,KUET_BreakDown
5,1484,2,1,195,KUET_Blaziken
6,1396,2,1,10,KUET_BUGMAN
7,1273,1,1,1273,trinityRaven
8,1114,2,1,99,Team_Phoenix
9,946,1,1,946,KUET_EXPLORERS
,,,,,
,,,,,
,,,,,
RUET -03,,,,,
,,,,,
,,,,,
rank,display_rating,num_contests,last_contest_index,last_change,handle
1,1928,3,2,54,KuetEffervescent
2,1697,3,2,76,KUET_FALCONS
3,1577,3,2,93,KUET_Blaziken
4,1561,3,2,74,KUET_BreakDown
5,1543,3,2,27,KUET_Musashis
6,1438,3,2,42,KUET_BUGMAN
7,1273,1,1,1273,trinityRaven
8,1252,1,2,1252,Team_Blackburn
9,1183,3,2,69,Team_Phoenix
10,1051,1,2,1051,Loop_Breakers
11,955,1,2,955,ShowStoppers
12,946,1,1,946,KUET_EXPLORERS
,,,,,
,,,,,
Collaborative - 26,,,,,
,,,,,
,,,,,
rank,display_rating,num_contests,last_contest_index,last_change,handle
1,1963,4,3,35,KuetEffervescent
2,1693,4,3,-4,KUET_FALCONS
3,1660,4,3,99,KUET_BreakDown
4,1634,4,3,57,KUET_Blaziken
5,1515,4,3,-28,KUET_Musashis
6,1506,1,3,1506,KUET_Sisyphus
7,1486,4,3,48,KUET_BUGMAN
8,1363,1,3,1363,KUET_Mayhem
9,1338,1,3,1338,KUET_Desperados
10,1273,1,1,1273,trinityRaven
11,1252,1,2,1252,Team_Blackburn
12,1252,4,3,69,Team_Phoenix
13,1098,1,3,1098,KUET_Crusaders
14,1051,1,2,1051,Loop_Breakers
15,1033,1,3,1033,KUET_LAZYCODERS
16,955,1,2,955,ShowStoppers
17,946,1,1,946,KUET_EXPLORERS
18,938,1,3,938,KUET_Yeti
