rank,display_rating,num_contests,last_contest_index,last_change,handle
1,1963,4,3,35,KuetEffervescent
2,1693,4,3,-4,KUET_FALCONS
3,1660,4,3,99,KUET_BreakDown
4,1634,4,3,57,KUET_Blaziken
5,1515,4,3,-28,KUET_Musashis
6,1506,1,3,1506,KUET_Sisyphus
7,1486,4,3,48,KUET_BUGMAN
8,1363,1,3,1363,KUET_Mayhem
9,1338,1,3,1338,KUET_Desperados
10,1273,1,1,1273,trinityRaven
11,1252,1,2,1252,Team_Blackburn
12,1252,4,3,69,Team_Phoenix
13,1098,1,3,1098,KUET_Crusaders
14,1051,1,2,1051,Loop_Breakers
15,1033,1,3,1033,KUET_LAZYCODERS
16,955,1,2,955,ShowStoppers
17,946,1,1,946,KUET_EXPLORERS
18,938,1,3,938,KUET_Yeti
